Institution Name (RSSD ID),Location,12/31/2012 Total Assets,03/31/2013 Total Assets,06/30/2013 Total Assets,09/30/2013 Total Assets,12/31/2013 Total Assets,03/31/2014 Total Assets,06/30/2014 Total Assets,09/30/2014 Total Assets,12/31/2014 Total Assets,03/31/2015 Total Assets,06/30/2015 Total Assets,09/30/2015 Total Assets,12/31/2015 Total Assets,03/31/2016 Total Assets,06/30/2016 Total Assets,Total Sum
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",121347388,119717632,118782563,116937255,117661732,118136516,119013705,119301813,119888669,122515877,121967042,124891540,126234344,125747379,126378482,1818521937
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",82985468,82794833,83229005,84427485,85162391,88530360,90835002,97230366,96687224,98379397,97080076,97797062,122787884,124625632,123820584,1456372769
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",97463845,93156775,97236008,95969501,102947333,103832578,105761163,111153721,109946485,106952000,119942945,119995234,116749572,117798813,121509559,1620415532
MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",0,0,0,0,0,0,0,110882044,113678090,113697697,114265672,115163500,116210191,120914763,117205079,922017036
KEYCORP (1068025),"CLEVELAND, OH",89425613,89441210,90858779,91016413,92991716,90928218,91934784,89884477,93882115,94296497,94674550,95476859,95270648,98570702,101406977,1400059558
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",0,0,69674976,70087078,71965476,74957227,75747100,79187065,83152427,85485851,88470749,89360000,89967342,92152260,91753156,1061960707
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",73491315,76139250,74944466,75544201,79339664,79583709,78936814,80596481,83125845,84177508,84911199,85611791,86936159,88093339,87511328,1218943069
SYNCHRONY FINANCIAL (4504654),"STAMFORD, CT",0,0,0,0,0,0,0,0,0,0,0,0,84135487,81655558,82384173,248175218
BANCWEST HOLDING INC. (4989420),"SAN FRANCISCO, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,80624408,80624408
HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",56153185,56054966,56113687,56648251,59476344,61145753,63797113,64330629,66298010,68002661,68845648,70210178,71044551,72644967,73954016,964719959
COMERICA INCORPORATED (1199844),"DALLAS, TX",65398175,64975279,63013097,64723310,65356580,65832917,65386081,68949210,69452409,69420233,70053205,71212885,71983051,69131436,71440155,1016328023
CIT GROUP INC. (1036967),"LIVINGSTON, NJ",44012251,44563888,44631022,46223981,47138960,48578081,44152666,46480980,47879974,46416005,46657160,68125502,67498790,67188228,66783624,776331112
ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",55511918,54110564,54904540,55188312,56031127,56080844,55111275,55458870,57208874,57555931,58365459,58410927,59669525,59179913,59642992,852431071
DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",74148000,75523000,71992000,66067000,66926000,72603000,69406000,60715000,55541200,55615500,58202000,57375000,53554000,53106000,54629000,945402700
